sha,date,chrome-version,chrome,firefox-version,firefox,ladybird-version,ladybird,safari-version,safari,servo-version,servo
88831ee6202f4f23bc0e5601fd359de2ffe063f2,2024-10-24,132.0.6794.2,204.9521060889074,133.0a1,226.67631130222037,1.0,5743.140482576336,206 preview,747.6876862535798,Servo 0.0.1-6fdd5ce,3186.7203729688727
8be9ad55c941b65de8bc725fdc72eabca737ba43,2024-10-25,132.0.6797.0,204.13304889498426,133.0a1,223.55040168904532,1.0,5736.416750601697,206 preview,748.2582416667218,Servo 0.0.1-d74b078,3190.14008235873
73d6bd0d61f0ad5341d0c2303a7638e3aa12a594,2024-10-26,132.0.6799.0,202.34414387568205,133.0a1,224.56916844507748,1.0,5733.070956010551,206 preview,748.490995362107,Servo 0.0.1-f05f1b3,3200.770120034878
73d6bd0d61f0ad5341d0c2303a7638e3aa12a594,2024-10-27,132.0.6799.0,202.34414387568205,133.0a1,226.30131130222034,1.0,5718.4615801388645,206 preview,747.7767055310009,Servo 0.0.1-f05f1b3,3206.0993172240096
a1d1d39e2cae42be8423d314d386e3ed4d4c3402,2024-10-29,132.0.6806.0,203.51081054234868,134.0a1,223.242977968887,1.0-205155a7ab,5695.212769400012,206 preview,751.3806233980326,Servo 0.0.1-10aa485,3207.230023265374
59f42dd9cc1aefa9b7f845c1cecf6625441a1383,2024-10-30,132.0.6808.0,205.66311299726968,134.0a1,225.63440282682438,1.0-760943d584,5576.870665899271,206 preview,753.2467142510405,Servo 0.0.1-a501572,3212.9779791124984
6c7c4003dba847b63e16083a0b7b8f473d9ad7e1,2024-10-31,132.0.6810.0,93.1191120972602,134.0a1,60.94485464449021,1.0-6708251968,2278.674345232521,206 preview,155.15670545230014,Servo 0.0.1-bac1101,11025.634602147149
b4899d9818c981543ca844554733a576a1f37ece,2024-11-01,132.0.6812.0,204.70336325148233,134.0a1,226.3615213111569,1.0-aeab342fd7,5533.122005589845,206 preview,749.8991333294113,Servo 0.0.1-62c7951,3216.6391825163896
d2f2efe271ae2fa661c52ed2fe8564e21ad4036f,2024-11-02,132.0.6813.0,206.289015291967,134.0a1,225.28254454618818,1.0-c042971293,5635.589601957168,206 preview,751.3711588378985,Servo 0.0.1-0d7fa75,3247.223385213117
a396ad103b076a2df5e5f7c57f95986a45c961be,2024-11-03,132.0.6814.0,205.56341436623202,134.0a1,225.29297796888704,1.0-64747c0397,5710.6671444816975,206 preview,751.5363749337549,Servo 0.0.1-a3fda38,3274.501416683599
71bc66fcf1f521e9142d6382f602eead8d11f5fa,2024-11-04,132.0.6817.0,207.05785181949753,134.0a1,224.23652131115693,1.0-6bc339b737,5706.459221043044,206 preview,752.7844921712319,Servo 0.0.1-b22c077,3290.7005231756675
1b56d89a261b86dedfd2854b53c1732e435f1f57,2024-11-05,132.0.6821.0,208.3107062637709,134.0a1,222.75374392275273,1.0-f7dfe03cf6,5869.518591081506,206 preview,750.9753825965839,Servo 0.0.1-5d1d3d6,3306.093169783878
877d18df86bb73b9b0f591eb0a56f38206d4b185,2024-11-06,132.0.6823.0,207.90266336832852,134.0a1,223.83370058986455,1.0-f61a41d7a6,5847.78139015722,206 preview,754.3362595345684,Servo 0.0.1-537958a,3313.653508277903
4537d926e08354da3b10beb278a38fdedfa13137,2024-11-07,132.0.6824.0,207.7857062637709,134.0a1,224.1629582178487,1.0-41a812156c,5863.234952992968,206 preview,753.002926201235,Servo 0.0.1-756c249,3310.5415674596397
7b542308b66f77878714f851a8baac291ee2a39e,2024-11-08,132.0.6827.0,210.6002852093499,134.0a1,223.99820131103604,1.0-4ae1bca67d,5884.750283263925,207 preview,751.5999996400603,Servo 0.0.1-48d193c,3311.5717412665635
8686b7a6d288d3b2c22b5ddb5a21773619b22b85,2024-11-09,132.0.6827.0,211.2321472034773,134.0a1,224.53884474267142,1.0-72320be124,5875.631642030621,207 preview,751.0251891528164,Servo 0.0.1-4f6283d,3309.3638535897767
b6fb1078b99e2afb42f587d06712b1901e303a5f,2024-11-10,132.0.6829.0,210.76695187601655,134.0a1,236.66820131103606,1.0-9ee7d4d90a,5914.919981164127,207 preview,763.4037109782131,Servo 0.0.1-da462d0,3217.8457733934097
47ce54c6931efcac7e98a933363fdf097b0b1085,2024-11-11,132.0.6832.0,210.30370477845406,134.0a1,236.68696806706822,1.0-7efc89e92b,5922.97602469434,207 preview,762.643591930594,Servo 0.0.1-dcb9058,3213.956177334842
2b25844f7ef4ca0940d13daa9502a465b0681c25,2024-11-12,132.0.6834.0,265.24434240327304,134.0a1,313.46696806706814,1.0-b6a5b7e186,2832.5766815270454,207 preview,1096.216036186482,Servo 0.0.1-72971bd,7117.325691536517
152ce7bb8a35f2556fbdee5a6021edab69709ba5,2024-11-13,133.0.6835.0,212.13297476602023,134.0a1,238.1290115285635,1.0-4dd14d812f,5863.501116763289,207 preview,765.0865570897245,Servo 0.0.1-8801698,3249.1070027851724
d0fa23bcb3d6c3d73f6bd3e65608f715b9169025,2024-11-14,133.0.6837.0,214.47840197228527,134.0a1,241.83379155118206,1.0-c747b1c6b5,5851.669052940331,207 preview,765.4629818430074,Servo 0.0.1-5e7664b,3260.2662397003883
a6ab90e6d1652a7d2280796961a802c259027834,2024-11-15,133.0.6838.0,214.08389690272662,134.0a1,241.45274820891217,1.0-c0ae3aa884,5828.819175867864,207 preview,762.5612945660293,Servo 0.0.1-3fd1a22,3257.713141624162
6cf69a4f431581e9438681abc776029308ee8a8c,2024-11-16,133.0.6838.0,214.0481730421368,134.0a1,242.20009256399112,1.0-98dadb0ce6,5791.899180276109,207 preview,768.1087249791713,Servo 0.0.1-495cceb,3260.0988122613962
577bbc90555b690f61071a2a42853d14c98c3b25,2024-11-17,133.0.6842.0,212.08259651260957,134.0a1,243.86052598668996,1.0-b264d18ad1,5799.099396616487,207 preview,765.7208183755532,Servo 0.0.1-ee63174,3268.3703567414263
d639d949a473d412a3557eab71eba43a58420f3f,2024-11-18,133.0.6844.0,215.19218084985985,134.0a1,242.94696923959432,1.0-e28e4f6700,5784.5752745300415,207 preview,767.678516645838,Servo 0.0.1-dca33f6,3275.409441944397
a31f0188c9e7c806f98101707ad2bdf11f56234d,2024-11-19,133.0.6847.0,215.6303254741552,134.0a1,242.6334266078079,1.0-ed409eacf5,5770.6222177962145,207 preview,763.0320248397718,Servo 0.0.1-f71f38b,3303.6534805269225
f7ae3a9bb320a9f5f253cba0b73e5f1a2d8ad377,2024-11-20,133.0.6848.0,214.29978179374558,134.0a1,248.6118265184424,1.0-63a5717bc7,5804.340454294553,207 preview,765.3291576714792,Servo 0.0.1-caf2467,3291.979459600271
53c06dc624d2e8ed7c2de69710183a5fc0e6c9b1,2024-11-21,133.0.6850.0,217.94286543399576,134.0a1,249.07684831809917,1.0-8614e0f856,5704.623212640446,208 preview,766.3946729528234,Servo 0.0.1-c73e4ba,3317.599262046082
c27cc4faeeb1b4b5ce7f98e29a7f4aba5d6ac6ac,2024-11-22,133.0.6853.0,220.73917674347433,134.0a1,251.01367934513607,1.0-9a7c9286c4,5705.796682099786,208 preview,764.6220366017715,Servo 0.0.1-527e2d4,3325.124735427673
6d461cc41e1a9951e1991a94f651e389b0ca24ba,2024-11-23,133.0.6853.0,219.5651422116938,134.0a1,250.3909732614051,1.0-8aaa9324b2,5637.9763609265,208 preview,766.8547746970094,Servo 0.0.1-67012a5,3336.6876500417657
6d461cc41e1a9951e1991a94f651e389b0ca24ba,2024-11-24,133.0.6853.0,219.0094479059995,134.0a1,251.19234866593584,1.0-7b389ca221,5603.643355266771,208 preview,768.1128718630013,Servo 0.0.1-9542466,3344.4097137190442
d6ea893fddc33c9215d0a1c9b06066ff6a4d1bba,2024-11-26,133.0.6860.0,217.48185643607025,135.0a1,250.35469736208555,1.0-0d635100c4,5592.799733345868,208 preview,768.5310697840116,Servo 0.0.1-c11e0e8,3395.1035012732145
6ad7a2e30f54e5f2a6e766e5e717b2c5ceeb5d99,2024-11-27,133.0.6863.0,220.813800447267,135.0a1,250.5103537168683,1.0-a74954e145,5596.185096817208,208 preview,770.3406930625206,Servo 0.0.1-63793cc,3402.5457689693267
bc6fbf467e196c4f03484768c494284c8a9c3dd4,2024-11-28,133.0.6865.0,219.79182394583975,135.0a1,251.48513693811975,1.0-aeaa284be3,5590.777489407016,208 preview,770.768812597619,Servo 0.0.1-d65a2e9,3397.9280060991055
643af85eb6c918e4a78ab91ad213a5421098a328,2024-11-29,133.0.6866.0,219.04172553097843,135.0a1,253.0224818925354,1.0-f2a406f8cc,5561.183160055691,208 preview,767.7538414979823,Servo 0.0.1-9168375,3398.726190772697
76dfa54e5df7f8cee7501cc6d598cf647c2b8564,2024-11-30,133.0.6868.0,215.4276904432591,135.0a1,250.83795808301153,1.0-9648c83b7d,5546.579619149021,208 preview,769.486445822412,Servo 0.0.1-16da1c2,3411.22823634614
76dfa54e5df7f8cee7501cc6d598cf647c2b8564,2024-12-01,133.0.6868.0,216.4276904432591,135.0a1,252.33795808301153,1.0-f4cc9c6426,5548.7706601684495,208 preview,771.777354913321,Servo 0.0.1-096439b,3404.6297578389676
48178346fe87222856812842fb7af7b01baa1530,2024-12-03,133.0.6875.0,214.25029991600266,135.0a1,252.31919132697936,1.0-163b8a69e3,5549.953973749652,208 preview,769.382460825698,Servo 0.0.1-e9c7c04,3427.519266157974
79ce401809a5531e21e197481125ed26cfb3b994,2024-12-04,133.0.6877.0,216.00730917048088,135.0a1,251.00462474967821,1.0-9c63785d0f,5521.544872031202,208 preview,768.4818858588692,Servo 0.0.1-ad448da,3438.603164312454
79bdb1b12acd159e80b2186b3180d459734ba999,2024-12-05,133.0.6879.0,216.85982423022054,135.0a1,250.2516082773257,1.0-21e6db6ba4,5513.794788291579,209 preview,766.4824810969645,Servo 0.0.1-9028c8c,3420.316742057314
7b6f075f0ec3c52d92c61fb9f35ce0ec927b17b2,2024-12-06,133.0.6881.0,218.44496605849045,135.0a1,251.31126428372062,1.0-6260e18de6,5503.945992814322,209 preview,768.9860421863018,Servo 0.0.1-97f486a,3467.15982456445
7b6f075f0ec3c52d92c61fb9f35ce0ec927b17b2,2024-12-07,133.0.6881.0,217.97829939182378,135.0a1,250.52912142657775,1.0-4c6cb13f7f,5508.230257986805,209 preview,766.578267454411,Servo 0.0.1-61ca2dd,3465.4502513709103
5741daf1cb7b2654f5c2bb0520f9f3d9e5d4cfb0,2024-12-10,133.0.6887.4,216.88681901883348,135.0a1,253.64945942191574,1.0-e4fb25bf63,5591.509958347884,209 preview,776.6858243902287,Servo 0.0.1-af8f35f,3339.4426639942944
92db8211bacc6ccb33f5b3aa86f12ddd1cbb2283,2024-12-11,133.0.6888.0,217.1189265940789,135.0a1,251.41612608858242,1.0-e7ef8da7f3,5520.8980967175075,209 preview,779.0790436806442,Servo 0.0.1-2f64dde,3455.658530330865
26b18ca2ebabc7e74d3b84c82542187cddbc29ed,2024-12-12,133.0.6891.0,218.45928969001082,135.0a1,250.2560391943551,1.0-7ee3727074,5512.103855239351,209 preview,770.8920936288844,Servo 0.0.1-2f64dde,3471.320062351298
8f41c4f07f63f94c22109042a1a19dc31848375f,2024-12-13,133.0.6893.0,219.83452984386025,135.0a1,252.77198480549546,1.0-e318316af7,5514.409919281723,209 preview,771.8920936288844,Servo 0.0.1-84c59e0,3460.922994417314
38623a53d6598cb7aab4be8a810102b352a652df,2024-12-14,133.0.6895.0,218.19822395095053,135.0a1,253.37270586102179,1.0-ea469fbeab,5519.615172463175,209 preview,773.2559329145986,Servo 0.0.1-53612da,3462.0873666788616
38623a53d6598cb7aab4be8a810102b352a652df,2024-12-15,133.0.6895.0,222.19822395095053,135.0a1,253.53937252768844,1.0-40bf8dde88,5523.822333196656,209 preview,770.0606722978401,Servo 0.0.1-41030ea,3473.507785826939
441d9bfafda626484b081e3cd4964489e9608ca2,2024-12-17,133.0.6902.0,220.0006260933227,135.0a1,255.09326787427855,1.0-6fd7b9b6b9,5237.251716544471,209 preview,772.8112502325025,Servo 0.0.1-a37a9f6,3528.4603696048816
87fa63514d61ba0aa4c3be23cacac43be48e5806,2024-12-19,133.0.6905.0,222.77223591499643,135.0a1,255.12696133885848,1.0-8620a2af47,5242.658396868976,210 preview,787.7023614860273,Servo 0.0.1-4ddcba2,3500.2687589914076
482f155ad08b0fea2ff0397ca00a7e71547df84a,2024-12-20,133.0.6907.0,221.22223591499642,135.0a1,254.450770862668,1.0-30d915c361,5236.450131632803,210 preview,784.3625075523103,Servo 0.0.1-4ddcba2,3506.655803283449
979291d49c1a8e3d811df117d9e6b5d399a6deb2,2024-12-21,133.0.6909.0,230.30025474446515,135.0a1,257.9653374399692,1.0-4d9f17eddf,5171.581185618149,210 preview,805.6929069059245,Servo 0.0.1-61bfd2f,3518.636850054868
dda5022b5f143e3ea4d82800ae2e9a2e98374e40,2024-12-22,133.0.6911.0,230.04140518694302,135.0a1,255.49867077330248,1.0-673537b26b,5196.716102993694,210 preview,806.4361608995557,Servo 0.0.1-1d5aac8,3521.1018128821743
32f43fa72ba90b4269b5c485909210761cb70b20,2024-12-23,133.0.6914.0,230.48568816716397,135.0a1,256.59748087160455,1.0-910ff8b694,5197.6270531614,210 preview,809.385128985733,Servo 0.0.1-1157fa2,3515.5301053409676
6efc8afc8a0e1ad401005fac848098b7759e62fa,2024-12-24,133.0.6915.0,232.97882151167457,135.0a1,257.2436280055251,1.0-910ff8b694,5202.13695234821,210 preview,807.6919471675513,Servo 0.0.1-2ab66ce,3529.7334695104582
e8ba63bc89b804dda46d77a70bd81ec349248138,2024-12-25,133.0.6916.0,230.3014309844181,135.0a1,256.8272422018739,1.0-7cd6ea6f33,5170.933150036226,210 preview,806.434912626346,Servo 0.0.1-3a89163,3540.958370532882
8dec23b17f1ca6b3e9cf721d0676ac9f7bc94121,2024-12-26,133.0.6919.0,230.64548817834122,135.0a1,255.55577347499823,1.0-062e33438e,5187.347797403674,210 preview,806.4440546321588,Servo 0.0.1-1e95712,3522.668170675744
fe46e85bef1394a0ea95460fa25c9cbe1207cecf,2024-12-27,133.0.6921.0,231.28560617244153,135.0a1,255.41029467219184,1.0-ffda698d3a,5177.943906853996,210 preview,810.351937594367,Servo 0.0.1-5f927a2,3520.0062791312453
8fcb1f1e9519117f68699b8257c6b79d0f6e70e8,2024-12-28,133.0.6922.0,230.37663270928823,135.0a1,255.5986707733025,1.0-48a4cc9ba3,5164.030000204248,210 preview,810.5909694571121,Servo 0.0.1-08a3e61,3528.9592545037467
8fcb1f1e9519117f68699b8257c6b79d0f6e70e8,2024-12-29,133.0.6922.0,230.37285955584665,135.0a1,256.04033743996916,1.0-79da6d48c1,5183.005576753412,210 preview,810.190969457112,Servo 0.0.1-a9539d8,3528.9452900899337
58c1148991566b4b3454edac0f9a8e11010e20b2,2024-12-31,133.0.6929.0,230.4371548450079,135.0a1,256.40910419600135,1.0-35b636acb3,5177.015298708622,210 preview,808.9964754094931,Servo 0.0.1-1296c71,3535.0975634598744
